source_order,star_grade,monster_type,monster_family,element,awakened_name,image_url,base_image_url,monster_url,awakening_essences,skill_ups,source_url
293,4,Attack,Magic Order Swordsinger,Dark,Fiona,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0151_1_5_fiona2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0151_0_5_fiona.png,https://summonerswarskyarena.info/monster/fiona-dark-magic-order-swordsinger-review/,12 15 10 15,12,https://summonerswarskyarena.info/monster-list/
294,3,Support,Fairy Queen,Light,Fran,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Fran-Light.png,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Fairy-Queen-Light.png,https://summonerswarskyarena.info/monster/light-fairy-queen-fran/,5 10 10 15,16,https://summonerswarskyarena.info/monster-list/
295,5,Attack,Dual Blade,Light,Frederic,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0113_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0113_0_4.png,https://summonerswarskyarena.info/monster/frederic-light-dual-blade-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
296,4,Support,Sylphid,Fire,Fria,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Fria_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Sylphid_Fire_Icon.png,https://summonerswarskyarena.info/monster/fria-fire-sylphid-review/,10 20 5 15,9,https://summonerswarskyarena.info/monster-list/
297,5,Defense,Drakan Warrior,Light,Fridrion,https://summonerswarskyarena.info/wp-content/uploads/2024/10/unit_icon_0161_0_4_fridrion2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/10/unit_icon_0161_0_4_fridrion.png,https://summonerswarskyarena.info/monster/fridrion-light-drakan-warrior-review/,15 5 20 10,10,https://summonerswarskyarena.info/monster-list/
298,4,Support,Pirate Captain,Dark,Frigate,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Frigate-Dark.png,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Pirate-Captain-Dark.png,https://summonerswarskyarena.info/monster/frigate-dark-pirate-captain-review/,10 20 5 15,11,https://summonerswarskyarena.info/monster-list/
299,5,Support,Frodo,Water,Frodo,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0203_1_1_Frodo.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0203_1_1_Frodo.png,https://summonerswarskyarena.info/monster/frodo-water-frodo-review/,,11,https://summonerswarskyarena.info/monster-list/
300,4,HP,Lich,Wind,Fuco,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Fuco_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Lich_Wind_Icon.png,https://summonerswarskyarena.info/monster/fuco-wind-lich-review/,10 20 5 15,10,https://summonerswarskyarena.info/monster-list/
301,4,Attack,Choco Knight,Light,Fudge,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0098_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0098_0_4.png,https://summonerswarskyarena.info/monster/fudge-light-choco-knight-review/,15 5 20 10,9,https://summonerswarskyarena.info/monster-list/
302,4,HP,Onimusha,Wind,Fuuki,https://summonerswarskyarena.info/wp-content/uploads/2021/02/fuuki.png,https://summonerswarskyarena.info/wp-content/uploads/2021/02/wind-onimusha.png,https://summonerswarskyarena.info/monster/fuuki-wind-onimusha-review/,15 7 15 12,10,https://summonerswarskyarena.info/monster-list/
303,2,Attack,Imp,Water,Fynn,https://summonerswarskyarena.info/wp-content/uploads/2016/07/Fynn-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2016/07/Imp-Water.png,https://summonerswarskyarena.info/monster/fynn-water-imp-review/,20 15,15,https://summonerswarskyarena.info/monster-list/
304,4,HP,Pirate Captain,Water,Galleon,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Galleon-Water.png,https://summonerswarskyarena.info/wp-content/uploads/2015/06/Pirate-Captain-Water.png,https://summonerswarskyarena.info/monster/galleon-water-pirate-captain-review/,10 20 5 15,12,https://summonerswarskyarena.info/monster-list/
305,2,Attack,Hellhound,Wind,Gamir,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Gamir_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Hellhound_Wind_Icon.png,https://summonerswarskyarena.info/monster/gamir-wind-hellhound-review/,2 15 15,10,https://summonerswarskyarena.info/monster-list/
306,4,Attack,Choco Knight,Water,Ganache,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0098_1_1.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0098_0_1.png,https://summonerswarskyarena.info/monster/ganache-water-choco-knight-review/,15 5 20 10,10,https://summonerswarskyarena.info/monster-list/
307,5,Support,Gandalf,Water,Gandalf,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_1_Gandalf.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_1_Gandalf.png,https://summonerswarskyarena.info/monster/gandalf-water-gandalf-review/,,9,https://summonerswarskyarena.info/monster-list/
308,5,Support,Gandalf,Fire,Gandalf,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_2_Gandalf.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_2_Gandalf.png,https://summonerswarskyarena.info/monster/gandalf-fire-gandalf-review/,,12,https://summonerswarskyarena.info/monster-list/
309,5,Support,Gandalf,Wind,Gandalf,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_3_Gandalf.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_3_Gandalf.png,https://summonerswarskyarena.info/monster/gandalf-wind-gandalf-review/,,9,https://summonerswarskyarena.info/monster-list/
310,5,Support,Gandalf,Light,Gandalf,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_4_Gandalf.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_4_Gandalf.png,https://summonerswarskyarena.info/monster/gandalf-light-gandalf-review/,,11,https://summonerswarskyarena.info/monster-list/
311,5,Support,Gandalf,Dark,Gandalf,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_5_Gandalf.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0204_1_5_Gandalf.png,https://summonerswarskyarena.info/monster/gandalf-dark-gandalf-review/,,12,https://summonerswarskyarena.info/monster-list/
312,3,Attack,Beast Hunter,Water,Gangchun,https://summonerswarskyarena.info/wp-content/uploads/2015/01/gangchun.png,https://summonerswarskyarena.info/wp-content/uploads/2015/01/beast-hunter-water.png,https://summonerswarskyarena.info/monster/gangchun-water-beast-hunter-review/,15 10 10 5,9,https://summonerswarskyarena.info/monster-list/
313,5,Support,Fairy King,Wind,Ganymede,https://summonerswarskyarena.info/wp-content/uploads/2016/02/Ganymede-Wind.png,https://summonerswarskyarena.info/wp-content/uploads/2016/02/Fairy-King-Wind.png,https://summonerswarskyarena.info/monster/ganymede-wind-fairy-king-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
314,5,HP,Dokkaebi Lord,Dark,Gapsoo,https://summonerswarskyarena.info/wp-content/uploads/2023/10/unit_icon_0133_1_5.png,https://summonerswarskyarena.info/wp-content/uploads/2023/10/unit_icon_0133_0_5.png,https://summonerswarskyarena.info/monster/gapsoo-dark-dokkaebi-lord-review/,5 15 10 20,12,https://summonerswarskyarena.info/monster-list/
315,4,Attack,Ninja,Fire,Garo,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Garo_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Ninja_Fire_Icon.png,https://summonerswarskyarena.info/monster/garo-fire-ninja-review/,10 20 5 15,10,https://summonerswarskyarena.info/monster-list/
316,3,HP,Werewolf,Fire,Garoche,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Garoche_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Werewolf_Fire_Icon.png,https://summonerswarskyarena.info/monster/garoche-fire-werewolf-review/,15 10 10 5,9,https://summonerswarskyarena.info/monster-list/
317,2,Attack,Imp,Dark,Garok,https://summonerswarskyarena.info/wp-content/uploads/2016/07/Garok-Dark.png,https://summonerswarskyarena.info/wp-content/uploads/2016/07/Imp-Dark.png,https://summonerswarskyarena.info/monster/garok-dark-imp-review/,20 15,12,https://summonerswarskyarena.info/monster-list/
318,5,HP,Lightning Emperor,Light,Geldnir,https://summonerswarskyarena.info/wp-content/uploads/2018/10/Geldnir_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/10/Lightning_Emperor_Light_Icon.png,https://summonerswarskyarena.info/monster/geldnir-light-lightning-emperor-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
319,4,Attack,Brownie Magician,Light,Gemini,https://summonerswarskyarena.info/wp-content/uploads/2014/12/Gemini-Light.png,https://summonerswarskyarena.info/wp-content/uploads/2014/12/Brownie-Magician-Light.png,https://summonerswarskyarena.info/monster/gemini-light-brownie-magician-review/,10 20 5 15,8,https://summonerswarskyarena.info/monster-list/
320,3,Defense,Viking,Fire,Geoffrey,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Geoffrey_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Viking_Fire_Icon.png,https://summonerswarskyarena.info/monster/geoffrey-fire-viking-review/,5 15 5 10,11,https://summonerswarskyarena.info/monster-list/
321,5,Attack,Geralt,Water,Geralt,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_1.png,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_1.png,https://summonerswarskyarena.info/monster/geralt-water-geralt-review/,,11,https://summonerswarskyarena.info/monster-list/
322,5,Attack,Geralt,Fire,Geralt,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_2.png,https://summonerswarskyarena.info/monster/geralt-fire-geralt-review/,,11,https://summonerswarskyarena.info/monster-list/
323,5,HP,Geralt,Wind,Geralt,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_3.png,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_3.png,https://summonerswarskyarena.info/monster/geralt-wind-geralt-review/,,10,https://summonerswarskyarena.info/monster-list/
324,5,Attack,Geralt,Light,Geralt,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_4.png,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_4.png,https://summonerswarskyarena.info/monster/geralt-light-geralt-review/,,9,https://summonerswarskyarena.info/monster-list/
325,5,HP,Geralt,Dark,Geralt,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_5.png,https://summonerswarskyarena.info/wp-content/uploads/2024/01/unit_icon_0141_1_5.png,https://summonerswarskyarena.info/monster/geralt-dark-geralt-review/,,10,https://summonerswarskyarena.info/monster-list/
326,5,Attack,Oracle,Dark,Giana,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Giana_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Oracle_Dark_Icon.png,https://summonerswarskyarena.info/monster/giana-dark-oracle-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
327,5,Defense,Beetle Guardian,Water,Gideon,https://summonerswarskyarena.info/wp-content/uploads/2025/04/unit_icon_0177_0_1_gideon2.png,https://summonerswarskyarena.info/wp-content/uploads/2025/04/unit_icon_0177_0_1_gideon.png,https://summonerswarskyarena.info/monster/gideon-water-beetle-guardian-review/,5 15 10 20,8,https://summonerswarskyarena.info/monster-list/
328,4,Attack,Taoist,Water,Gildong,https://summonerswarskyarena.info/wp-content/uploads/2015/01/gildong.png,https://summonerswarskyarena.info/wp-content/uploads/2015/01/taoist-water.png,https://summonerswarskyarena.info/monster/gildong-water-taoist-review/,20 5 15 5,16,https://summonerswarskyarena.info/monster-list/
329,4,Attack,Ninja,Light,Gin,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Gin_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Ninja_Light_Icon.png,https://summonerswarskyarena.info/monster/gin-light-ninja-review/,10 20 5 15,12,https://summonerswarskyarena.info/monster-list/
330,3,Attack,Mystic Witch,Dark,Gina,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Gina_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Mystic_Witch_Dark_Icon.png,https://summonerswarskyarena.info/monster/gina-dark-mystic-witch-review/,15 10 10 5,15,https://summonerswarskyarena.info/monster-list/
331,5,Attack,GingerBrave,Wind,GingerBrave,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0089_1_3.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0089_1_3.png,https://summonerswarskyarena.info/monster/gingerbrave-wind-gingerbrave-review/,,9,https://summonerswarskyarena.info/monster-list/
332,4,Support,Exorcist Association Conjurer,Light,Ginjo,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0165_1_4_ginjo.png,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0165_1_4_ginjo.png,https://summonerswarskyarena.info/monster/ginjo-light-exorcist-association-conjurer-review/,,12,https://summonerswarskyarena.info/monster-list/
333,5,Support,Onmyouji,Wind,Giou,https://summonerswarskyarena.info/wp-content/uploads/2021/03/giou.png,https://summonerswarskyarena.info/wp-content/uploads/2021/03/wind-onmyouji.png,https://summonerswarskyarena.info/monster/giou-wind-onmyouji-review/,5 15 10 20,9,https://summonerswarskyarena.info/monster-list/
334,5,Defense,Macaron Guard,Dark,Giselle,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0097_1_5.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0097_0_5.png,https://summonerswarskyarena.info/monster/giselle-dark-macaron-guard-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
335,3,Defense,Lizardman,Light,Glinodon,https://summonerswarskyarena.info/wp-content/uploads/2014/10/Glinodon-Light.png,https://summonerswarskyarena.info/wp-content/uploads/2014/10/Lizardman-Light.png,https://summonerswarskyarena.info/monster/glinodon-light-lizardman-review/,15 10 10 5,10,https://summonerswarskyarena.info/monster-list/
336,4,Attack,Gollum,Water,Gollum,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_1_Gollum.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_1_Gollum.png,https://summonerswarskyarena.info/monster/gollum-water-gollum-review/,,10,https://summonerswarskyarena.info/monster-list/
337,4,Attack,Gollum,Fire,Gollum,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_2_Gollum.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_2_Gollum.png,https://summonerswarskyarena.info/monster/gollum-fire-gollum-review/,,9,https://summonerswarskyarena.info/monster-list/
338,4,Attack,Gollum,Wind,Gollum,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_3_Gollum.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_3_Gollum.png,https://summonerswarskyarena.info/monster/gollum-wind-gollum-review/,,11,https://summonerswarskyarena.info/monster-list/
339,4,Attack,Gollum,Light,Gollum,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_4_Gollum.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_4_Gollum.png,https://summonerswarskyarena.info/monster/gollum-light-gollum-review/,,11,https://summonerswarskyarena.info/monster-list/
340,4,Attack,Gollum,Dark,Gollum,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_5_Gollum.png,https://summonerswarskyarena.info/wp-content/uploads/2026/01/unit_icon_0207_1_5_Gollum.png,https://summonerswarskyarena.info/monster/gollum-dark-gollum-review/,,10,https://summonerswarskyarena.info/monster-list/
341,2,HP,Warbear,Dark,Gorgo,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Gorgo_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Warbear_Dark_Icon.png,https://summonerswarskyarena.info/monster/gorgo-dark-warbear-review/,5 15 5 10,13,https://summonerswarskyarena.info/monster-list/
342,3,HP,Battle Mammoth,Fire,Granite,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Granite-Fire.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Battle-Mammoth-Fire.png,https://summonerswarskyarena.info/monster/granite-fire-battle-mammoth-review/,15 10 10 5,16,https://summonerswarskyarena.info/monster-list/
343,4,HP,Lich,Dark,Grego,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Grego_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Lich_Dark_Icon.png,https://summonerswarskyarena.info/monster/grego-dark-lich-review/,10 20 5 15,10,https://summonerswarskyarena.info/monster-list/
344,5,Support,Magic Order Elementalist,Light,Groa,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0153_1_4_groa2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0153_0_4_groa.png,https://summonerswarskyarena.info/monster/groa-light-magic-order-elementalist-review/,12 15 10 15,10,https://summonerswarskyarena.info/monster-list/
345,5,Attack,Dragon,Dark,Grogen,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Grogen_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Dragon_Dark_Icon.png,https://summonerswarskyarena.info/monster/grogen-dark-dragon-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
346,3,Defense,Golem,Light,Groggo,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Groggo_Icon-1.png,https://summonerswarskyarena.info/wp-content/uploads/2018/06/Golem_Light_Icon-1.png,https://summonerswarskyarena.info/monster/groggo-light-golem-review/,15 10 10 5,7,https://summonerswarskyarena.info/monster-list/
347,4,HP,Tomb Warden,Wind,Gronn,https://summonerswarskyarena.info/wp-content/uploads/2024/12/unit_icon_0176_0_3_gronn2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/12/unit_icon_0176_0_3_gronn.png,https://summonerswarskyarena.info/monster/gronn-wind-tomb-warden-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
348,3,HP,Minotauros,Light,Grotau,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Grotau_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2014/10/Minotauros-Light.png,https://summonerswarskyarena.info/monster/grotau-light-minotauros-review/,15 10 10 5,9,https://summonerswarskyarena.info/monster-list/
349,3,HP,Bearman,Water,Gruda,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Gruda_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Bearman_Water_Icon.png,https://summonerswarskyarena.info/monster/gruda-water-bearman-review/,15 10 10 5,10,https://summonerswarskyarena.info/monster-list/
350,4,Attack,Phantom Thief,Dark,Guillaume,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Guillaume_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Phantom_Thief_Dark_Icon.png,https://summonerswarskyarena.info/monster/guillaume-dark-phantom-thief-review/,10 20 5 15,9,https://summonerswarskyarena.info/monster-list/
351,3,Attack,Taoist,Fire,Gunpyeong,https://summonerswarskyarena.info/wp-content/uploads/2015/01/gunpyeong.png,https://summonerswarskyarena.info/wp-content/uploads/2015/01/taoist-fire.png,https://summonerswarskyarena.info/monster/gunpyeong-fire-taoist-review/,20 5 15 5,13,https://summonerswarskyarena.info/monster-list/
352,5,HP,Slayer,Dark,Gurkha,https://summonerswarskyarena.info/wp-content/uploads/2020/11/gurkha.png,https://summonerswarskyarena.info/wp-content/uploads/2020/11/dark-slayer.png,https://summonerswarskyarena.info/monster/gurkha-dark-slayer-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
353,4,Attack,Exorcist Association Fighter,Light,Guy,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0163_1_4_Guy.png,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0163_1_4_Guy.png,https://summonerswarskyarena.info/monster/guy-light-exorcist-association-fighter-review/,,10,https://summonerswarskyarena.info/monster-list/
354,5,Defense,Gyomei Himejima,Wind,Gyomei Himejima,https://summonerswarskyarena.info/wp-content/uploads/2025/01/unit_icon_0171_1_3_Gyomei.png,https://summonerswarskyarena.info/wp-content/uploads/2025/01/unit_icon_0171_1_3_Gyomei.png,https://summonerswarskyarena.info/monster/gyomei-himejima-wind-gyomei-himejima-review/,,11,https://summonerswarskyarena.info/monster-list/
355,5,Support,Art Master,Water,Haegang,https://summonerswarskyarena.info/wp-content/uploads/2020/06/haegang.png,https://summonerswarskyarena.info/wp-content/uploads/2020/06/water-art-master.png,https://summonerswarskyarena.info/monster/haegang-water-art-master-review/,5 15 10 20,10,https://summonerswarskyarena.info/monster-list/
356,3,HP,Bearman,Dark,Haken,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Haken_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Bearman_Dark_Icon.png,https://summonerswarskyarena.info/monster/haken-dark-bearman-review/,15 10 10 5,12,https://summonerswarskyarena.info/monster-list/
357,4,Defense,Lich,Light,Halphas,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Halphas_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Lich_Light_Icon.png,https://summonerswarskyarena.info/monster/halphas-light-lich-review/,10 20 5 15,9,https://summonerswarskyarena.info/monster-list/
358,5,HP,Ninja,Dark,Han,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Han_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/02/Ninja_Dark_Icon.png,https://summonerswarskyarena.info/monster/han-dark-ninja-review/,10 20 5 15,13,https://summonerswarskyarena.info/monster-list/
359,3,Attack,Cow Girl,Wind,Hannah,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Hannah-Wind.png,https://summonerswarskyarena.info/wp-content/uploads/2015/03/Cow-Girl-Wind.png,https://summonerswarskyarena.info/monster/hannah-wind-cow-girl-review/,15 10 10 5,14,https://summonerswarskyarena.info/monster-list/
360,3,Attack,Beast Hunter,Dark,Hanra,https://summonerswarskyarena.info/wp-content/uploads/2015/01/hannam.png,https://summonerswarskyarena.info/wp-content/uploads/2015/01/beast-hunter-dark.png,https://summonerswarskyarena.info/monster/hannam-dark-beast-hunter-review/,15 10 10 5,13,https://summonerswarskyarena.info/monster-list/
361,5,Attack,Art Master,Light,Hanwul,https://summonerswarskyarena.info/wp-content/uploads/2020/06/hanwul.png,https://summonerswarskyarena.info/wp-content/uploads/2020/06/light-art-master.png,https://summonerswarskyarena.info/monster/hanwul-light-art-master-review/,5 15 10 20,11,https://summonerswarskyarena.info/monster-list/
362,4,Support,Harp Magician,Fire,Harmonia,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Harmonia_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/01/Harp_Magician_Fire_Icon.png,https://summonerswarskyarena.info/monster/harmonia-fire-harp-magician-review/,12 15 10 15,12,https://summonerswarskyarena.info/monster-list/
363,5,Attack,Exorcist Association Resolver,Fire,Hartmann,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0166_1_2_hartmann.png,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0166_1_2_hartmann.png,https://summonerswarskyarena.info/monster/hartmann-fire-exorcist-association-resolver-review/,,9,https://summonerswarskyarena.info/monster-list/
364,5,HP,Exorcist Association Hunter,Light,Haruka,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0164_1_3_haruka.png,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0164_1_3_haruka.png,https://summonerswarskyarena.info/monster/haruka-light-exorcist-association-hunter-review/,,10,https://summonerswarskyarena.info/monster-list/
365,5,Support,Desert Queen,Wind,Hathor,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Hathor-Wind.png,https://summonerswarskyarena.info/wp-content/uploads/2015/10/Desert-Queen-Wind.png,https://summonerswarskyarena.info/monster/hathor-wind-desert-queen-review/,20 10 15 5,12,https://summonerswarskyarena.info/monster-list/
366,5,Attack,Exorcist Association Arbiter,Dark,Hayato,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0162_1_5_hayato.png,https://summonerswarskyarena.info/wp-content/uploads/2024/11/unit_icon_0162_1_5_hayato.png,https://summonerswarskyarena.info/monster/hayato-dark-exorcist-association-arbiter-review/,,10,https://summonerswarskyarena.info/monster-list/
367,4,Attack,Steel Commander,Wind,Hector,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0114_1_3.png,https://summonerswarskyarena.info/wp-content/uploads/2023/07/unit_icon_0114_0_3.png,https://summonerswarskyarena.info/monster/hector-wind-steel-commander-review/,15 10 15 12,13,https://summonerswarskyarena.info/monster-list/
368,5,HP,Heihachi Mishima,Fire,Heihachi Mishima,https://summonerswarskyarena.info/wp-content/uploads/2025/07/unit_icon_0186_1_1_heihachimishima.png,https://summonerswarskyarena.info/wp-content/uploads/2025/07/unit_icon_0186_1_1_heihachimishima.png,https://summonerswarskyarena.info/monster/heihachi-mishima-fire-heihachi-mishima-review/,,12,https://summonerswarskyarena.info/monster-list/
369,4,Support,Poison Master,Light,Hekerson,https://summonerswarskyarena.info/wp-content/uploads/2020/12/hekerson.png,https://summonerswarskyarena.info/wp-content/uploads/2020/12/light-poison-master.png,https://summonerswarskyarena.info/monster/hekerson-light-poison-master-review/,15 5 20 10,12,https://summonerswarskyarena.info/monster-list/
370,5,HP,Unicorn,Fire,Helena,https://summonerswarskyarena.info/wp-content/uploads/2017/03/Helena_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2017/03/Unicorn_Fire_Icon.png,https://summonerswarskyarena.info/monster/helena-fire-unicorn-review/,20 10 15 5,11,https://summonerswarskyarena.info/monster-list/
371,3,Attack,Harpy,Dark,Hellea,https://summonerswarskyarena.info/wp-content/uploads/2016/08/Hellea-Dark.png,https://summonerswarskyarena.info/wp-content/uploads/2016/08/Harpy-Dark.png,https://summonerswarskyarena.info/monster/hellea-dark-harpy-review/,15 10 10 5,17,https://summonerswarskyarena.info/monster-list/
372,3,Attack,Grim Reaper,Water,Hemos,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Hemos_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2016/12/Grim_Reaper_Water_Icon.png,https://summonerswarskyarena.info/monster/hemos-water-grim-reaper-review/,15 10 10 5,14,https://summonerswarskyarena.info/monster-list/
373,5,HP,Magic Order Guardian,Wind,Henrik,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0150_1_3_henrik2.png,https://summonerswarskyarena.info/wp-content/uploads/2024/06/unit_icon_0150_0_3_henrik.png,https://summonerswarskyarena.info/monster/henrik-wind-magic-order-guardian-review/,20 10 15 5,10,https://summonerswarskyarena.info/monster-list/
374,4,Support,Dryad,Water,Herne,https://summonerswarskyarena.info/wp-content/uploads/2018/09/Herne_Icon.png,https://summonerswarskyarena.info/wp-content/uploads/2018/09/Dryad_Water_Icon.png,https://summonerswarskyarena.info/monster/herne-water-dryad-review/,15 5 20 10,13,https://summonerswarskyarena.info/monster-list/
